Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
98,Cooper Kupp,31,LAR,WR,5,4,56,41,382,9.3,2,17,55.4,27.0,8.2,76.4,73.2,6.8,2,10,0,1,50.0,9.0,5.0,2.0,0.4,43,9.1,392,2,0,
99,Ray-Ray McCloud,28,ATL,WR,10,9,49,35,335,9.6,1,16,53.1,22.0,3.5,33.5,71.4,6.8,6,56,0,2,66.7,20.0,9.3,5.6,0.6,41,9.5,391,1,3,
100,Justice Hill,27,BAL,RB,10,0,30,27,272,10.1,2,13,60.0,24.0,2.7,27.2,90.0,9.1,34,117,0,11,41.2,17.0,3.4,11.7,3.4,61,6.4,389,2,0,
101,Dallas Goedert,29,PHI,TE,7,7,37,31,387,12.5,1,12,54.1,61.0,4.4,55.3,83.8,10.5,0,0,0,0,,,,0.0,0.0,31,12.5,387,1,2,
102,Mike Gesicki,29,CIN,TE,10,2,45,34,383,11.3,2,21,62.2,47.0,3.4,38.3,75.6,8.5,0,0,0,0,,,,0.0,0.0,34,11.3,383,2,1,
103,Tucker Kraft,24,GNB,TE,9,9,39,28,376,13.4,5,15,53.8,67.0,3.1,41.8,71.8,9.6,2,4,0,2,100.0,2.0,2.0,0.4,0.2,30,12.7,380,5,1,
104,Tutu Atwell,25,LAR,WR,9,4,40,26,372,14.3,0,17,60.0,50.0,2.9,41.3,65.0,9.3,1,7,0,0,100.0,7.0,7.0,0.8,0.1,27,14.0,379,0,0,
105,Christian Kirk,28,JAX,WR,8,7,47,27,379,14.0,1,18,48.9,61.0,3.4,47.4,57.4,8.1,0,0,0,0,,,,0.0,0.0,27,14.0,379,1,0,
106,Rashid Shaheed,26,NOR,WR,6,5,41,20,349,17.5,3,12,41.5,70.0,3.3,58.2,48.8,8.5,6,29,0,2,50.0,13.0,4.8,4.8,1.0,26,14.5,378,3,1,
107,Brandon Aiyuk,26,SFO,WR,7,7,47,25,374,15.0,0,19,48.9,53.0,3.6,53.4,53.2,8.0,0,0,0,0,,,,0.0,0.0,25,15.0,374,0,0,
108,Jaylen Waddle,26,MIA,WR,9,9,44,31,367,11.8,1,18,45.5,63.0,3.4,40.8,70.5,8.3,3,6,0,0,66.7,4.0,2.0,0.7,0.3,34,11.0,373,1,0,
109,Kyler Murray,27,ARI,QB,10,10,0,0,0,,0,0,,,0.0,0.0,,,46,371,4,17,50.0,50.0,8.1,37.1,4.6,46,8.1,371,4,6,
110,Diontae Johnson,28,2TM,WR,9,7,60,31,363,11.7,3,20,40.0,39.0,3.4,40.3,51.7,6.1,2,6,0,1,50.0,4.0,3.0,0.7,0.2,33,11.2,369,3,0,
110,Diontae Johnson,28,CAR,WR,7,7,58,30,357,11.9,3,20,39.7,39.0,4.3,51.0,51.7,6.2,2,6,0,1,50.0,4.0,3.0,0.9,0.3,32,11.3,363,3,0,
110,Diontae Johnson,28,BAL,WR,2,0,2,1,6,6.0,0,0,50.0,6.0,0.5,3.0,50.0,3.0,0,0,0,0,,,,0.0,0.0,1,6.0,6,0,0,
111,Jalen Tolbert,25,DAL,WR,9,9,48,33,367,11.1,3,17,52.1,48.0,3.7,40.8,68.8,7.6,0,0,0,0,,,,0.0,0.0,33,11.1,367,3,0,
112,Sam LaPorta,23,DET,TE,9,9,32,25,366,14.6,3,17,62.5,52.0,2.8,40.7,78.1,11.4,0,0,0,0,,,,0.0,0.0,25,14.6,366,3,0,
113,Michael Pittman Jr.,27,IND,WR,9,7,57,30,366,12.2,2,15,40.4,33.0,3.3,40.7,52.6,6.4,0,0,0,0,,,,0.0,0.0,30,12.2,366,2,0,
114,Demario Douglas,24,NWE,WR,10,3,53,39,356,9.1,1,18,49.1,35.0,3.9,35.6,73.6,6.7,1,9,0,0,100.0,9.0,9.0,0.9,0.1,40,9.1,365,1,0,
115,Jake Ferguson,25,DAL,TE,8,8,57,42,358,8.5,0,14,43.9,27.0,5.3,44.8,73.7,6.3,0,0,0,0,,,,0.0,0.0,42,8.5,358,0,3,
116,Jerome Ford,25,CLE,RB,7,4,26,21,89,4.2,0,2,23.1,24.0,3.0,12.7,80.8,3.4,52,269,1,17,53.8,36.0,5.2,38.4,7.4,73,4.9,358,1,0,
117,Mark Andrews,29,BAL,TE,10,6,36,30,357,11.9,5,22,66.7,38.0,3.0,35.7,83.3,9.9,0,0,0,0,,,,0.0,0.0,30,11.9,357,5,0,
118,Dalton Kincaid,25,BUF,TE,10,7,59,34,356,10.5,2,18,52.5,28.0,3.4,35.6,57.6,6.0,0,0,0,0,,,,0.0,0.0,34,10.5,356,2,1,
119,Noah Brown,28,WAS,WR,9,7,42,26,355,13.7,1,16,57.1,52.0,2.9,39.4,61.9,8.5,0,0,0,0,,,,0.0,0.0,26,13.7,355,1,0,
120,Demarcus Robinson,30,LAR,WR,9,9,43,22,350,15.9,5,19,48.8,42.0,2.4,38.9,51.2,8.1,0,0,0,0,,,,0.0,0.0,22,15.9,350,5,0,
121,Jonnu Smith,29,MIA,TE,9,2,44,33,347,10.5,1,21,61.4,33.0,3.7,38.6,75.0,7.9,1,-1,0,0,0.0,-1.0,-1.0,-0.1,0.1,34,10.2,346,1,0,
122,DeAndre Hopkins,32,2TM,WR,9,5,38,29,344,11.9,3,20,65.8,35.0,3.2,38.2,76.3,9.1,0,0,0,0,,,,0.0,0.0,29,11.9,344,3,1,
122,DeAndre Hopkins,32,TEN,WR,6,3,21,15,173,11.5,1,10,66.7,23.0,2.5,28.8,71.4,8.2,0,0,0,0,,,,0.0,0.0,15,11.5,173,1,1,
122,DeAndre Hopkins,32,KAN,WR,3,2,17,14,171,12.2,2,10,64.7,35.0,4.7,57.0,82.4,10.1,0,0,0,0,,,,0.0,0.0,14,12.2,171,2,0,
123,Josh Palmer,25,LAC,WR,8,3,28,18,342,19.0,1,14,57.1,45.0,2.3,42.8,64.3,12.2,0,0,0,0,,,,0.0,0.0,18,19.0,342,1,0,
124,Tee Higgins,25,CIN,WR,5,3,45,29,341,11.8,3,21,62.2,25.0,5.8,68.2,64.4,7.6,0,0,0,0,,,,0.0,0.0,29,11.8,341,3,0,
125,Mike Evans,31,TAM,WR,7,7,45,26,335,12.9,6,21,57.8,25.0,3.7,47.9,57.8,7.4,0,0,0,0,,,,0.0,0.0,26,12.9,335,6,0,
126,Raheem Mostert,32,MIA,RB,6,1,12,9,105,11.7,0,7,66.7,25.0,1.5,17.5,75.0,8.8,55,214,2,11,47.3,18.0,3.9,35.7,9.2,64,5.0,319,2,2,
127,Amari Cooper,30,2TM,WR,8,7,60,29,319,11.0,3,15,38.3,27.0,3.6,39.9,48.3,5.3,0,0,0,0,,,,0.0,0.0,29,11.0,319,3,0,
127,Amari Cooper,30,CLE,WR,6,6,53,24,250,10.4,2,11,35.8,24.0,4.0,41.7,45.3,4.7,0,0,0,0,,,,0.0,0.0,24,10.4,250,2,0,
127,Amari Cooper,30,BUF,WR,2,1,7,5,69,13.8,1,4,57.1,27.0,2.5,34.5,71.4,9.9,0,0,0,0,,,,0.0,0.0,5,13.8,69,1,0,
128,Jordan Addison,22,MIN,WR,7,7,33,21,298,14.2,2,14,48.5,51.0,3.0,42.6,63.6,9.0,3,20,1,1,100.0,9.0,6.7,2.9,0.4,24,13.3,318,3,0,
129,Cole Kmet,25,CHI,TE,9,8,34,29,316,10.9,3,17,73.5,31.0,3.2,35.1,85.3,9.3,0,0,0,0,,,,0.0,0.0,29,10.9,316,3,0,
130,Jaylen Warren,26,PIT,RB,7,0,16,14,96,6.9,0,3,31.3,26.0,2.0,13.7,87.5,6.0,55,217,0,12,40.0,18.0,3.9,31.0,7.9,69,4.5,313,0,1,
