Rk_x,Player,Tm,FantPos,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999,Rk_y,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
160,Noah Fant,SEA,TE,,73,122.6,125.6,97.6,,18,,FantNo00,147.0,25.0,SEA,TE,17.0,16.0,63.0,50.0,486.0,9.7,4.0,24.0,54.0,51.0,2.9,28.6,79.4,7.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,50.0,9.7,486.0,4.0,0.0,
161,Russell Gage,TAM,WR,,73,123.6,127.6,98.1,,56,,GageRu00,163.0,26.0,TAM,WR,13.0,4.0,70.0,51.0,426.0,8.4,5.0,31.0,62.9,23.0,3.9,32.8,72.9,6.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,51.0,8.4,426.0,5.0,1.0,
162,Alexander Mattison,MIN,RB,,73,88.4,91.4,80.9,,51,,MattAl01,186.0,24.0,MIN,RB,17.0,0.0,18.0,15.0,91.0,6.1,1.0,4.0,33.3,16.0,0.9,5.4,83.3,5.1,74.0,283.0,5.0,21.0,47.3,15.0,3.8,16.6,4.4,89.0,4.2,374.0,6.0,0.0,
163,Rashid Shaheed,NOR,WR,,73,100.5,103.5,86.5,,57,,ShahRa00,125.0,24.0,NOR,WR,12.0,6.0,34.0,28.0,488.0,17.4,2.0,18.0,70.6,68.0,2.3,40.7,82.4,14.4,4.0,57.0,1.0,2.0,75.0,44.0,14.3,4.8,0.3,32.0,17.0,545.0,3.0,1.0,
164,Noah Brown,DAL,WR,,72,114.5,118.5,93.0,,59,,BrowNo00,120.0,26.0,DAL,WR,16.0,13.0,74.0,43.0,555.0,12.9,3.0,25.0,48.6,51.0,2.7,34.7,58.1,7.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,43.0,12.9,555.0,3.0,1.0,
165,DeVante Parker,NWE,WR,,72,102.9,105.9,87.4,,58,,ParkDe01,128.0,29.0,NWE,WR,13.0,11.0,47.0,31.0,539.0,17.4,3.0,25.0,59.6,43.0,2.4,41.5,66.0,11.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,31.0,17.4,539.0,3.0,0.0,
166,Marvin Jones,JAX,WR,,71,116.9,119.9,93.9,,61,,JoneMa02,130.0,32.0,JAX,WR,16.0,10.0,81.0,46.0,529.0,11.5,3.0,29.0,51.9,37.0,2.9,33.1,56.8,6.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,46.0,11.5,529.0,3.0,0.0,
167,Alec Pierce,IND,WR,,71,112.3,115.3,91.8,,60,,PierAl00,113.0,22.0,IND,WR,16.0,12.0,78.0,41.0,593.0,14.5,2.0,28.0,46.2,47.0,2.6,37.1,52.6,7.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,41.0,14.5,593.0,2.0,1.0,
168,Olamide Zaccheaus,ATL,WR,,70,110.0,114.0,90.0,,62,,ZaccOl01,127.0,25.0,ATL,WR,17.0,13.0,61.0,40.0,533.0,13.3,3.0,25.0,52.5,45.0,2.4,31.4,65.6,8.7,2.0,7.0,0.0,1.0,50.0,13.0,3.5,0.4,0.1,42.0,12.9,540.0,3.0,1.0,
169,Zach Ertz,ARI,TE,,69,115.6,118.6,92.1,,19,,ErtzZa00,174.0,32.0,ARI,TE,10.0,10.0,69.0,47.0,406.0,8.6,4.0,24.0,55.1,32.0,4.7,40.6,68.1,5.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,47.0,8.6,406.0,4.0,0.0,
170,Mecole Hardman,KAN,WR,,69,93.8,96.8,81.3,,64,,HardMe00,204.0,24.0,KAN,WR,8.0,5.0,34.0,25.0,297.0,11.9,4.0,14.0,61.8,36.0,3.1,37.1,73.5,8.7,4.0,31.0,2.0,3.0,75.0,25.0,7.8,3.9,0.5,29.0,11.3,328.0,6.0,1.0,
171,Kalif Raymond,DET,WR,,69,116.2,120.2,92.7,,63,,RaymKa00,109.0,28.0,DET,WR,17.0,7.0,64.0,47.0,616.0,13.1,0.0,24.0,56.3,56.0,2.8,36.2,73.4,9.6,7.0,36.0,0.0,4.0,71.4,12.0,5.1,2.1,0.4,54.0,12.1,652.0,0.0,3.0,AP-2
172,DJ Chark,DET,WR,,68,98.2,101.2,83.2,,65,,CharDJ00,140.0,26.0,DET,WR,11.0,10.0,52.0,30.0,502.0,16.7,3.0,24.0,51.9,51.0,2.7,45.6,57.7,9.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,30.0,16.7,502.0,3.0,0.0,
173,Chris Moore,HOU,WR,,67,115.1,118.1,91.1,,66,,MoorCh00,124.0,29.0,HOU,WR,16.0,7.0,74.0,48.0,548.0,11.4,2.0,24.0,47.3,52.0,3.0,34.3,64.9,7.4,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,51.0,10.8,551.0,2.0,0.0,
174,DeAndre Carter,LAC,WR,,66,112.3,117.3,89.3,,68,,CartDe02,132.0,29.0,LAC,WR,17.0,7.0,65.0,46.0,538.0,11.7,3.0,29.0,53.8,35.0,2.7,31.6,70.8,8.3,2.0,-15.0,0.0,0.0,0.0,-5.0,-7.5,-0.9,0.1,48.0,10.9,523.0,3.0,3.0,
175,Corey Davis,NYJ,WR,,66,97.6,100.6,81.6,,70,,DaviCo03,129.0,27.0,NYJ,WR,13.0,10.0,64.0,32.0,536.0,16.8,2.0,28.0,48.4,66.0,2.5,41.2,50.0,8.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,32.0,16.8,536.0,2.0,0.0,
176,Michael Gallup,DAL,WR,,66,105.4,108.4,85.9,,67,,GallMi00,164.0,26.0,DAL,WR,14.0,11.0,74.0,39.0,424.0,10.9,4.0,25.0,44.6,27.0,2.8,30.3,52.7,5.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,39.0,10.9,424.0,4.0,0.0,
177,Mike Gesicki,MIA,TE,,66,98.2,101.2,82.2,,20,,GesiMi00,193.0,27.0,MIA,TE,17.0,1.0,52.0,32.0,362.0,11.3,5.0,19.0,48.1,32.0,1.9,21.3,61.5,7.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,32.0,11.3,362.0,5.0,0.0,
178,Josh Reynolds,DET,WR,,66,103.9,106.9,84.9,,69,,ReynJo00,149.0,27.0,DET,WR,14.0,11.0,59.0,38.0,479.0,12.6,3.0,25.0,61.0,31.0,2.7,34.2,64.4,8.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,38.0,12.6,479.0,3.0,0.0,
180,Kenneth Gainwell,PHI,RB,,65,87.9,93.9,76.4,,53,,GainKe00,172.0,23.0,PHI,RB,17.0,0.0,29.0,23.0,169.0,7.3,0.0,7.0,41.4,20.0,1.4,9.9,79.3,5.8,53.0,240.0,4.0,17.0,62.3,13.0,4.5,14.1,3.1,76.0,5.4,409.0,4.0,0.0,
181,Chigoziem Okonkwo,TEN,TE,,65,97.2,100.2,81.2,,21,,OkonCh00,156.0,23.0,TEN,TE,17.0,8.0,46.0,32.0,450.0,14.1,3.0,22.0,50.0,48.0,1.9,26.5,69.6,9.8,3.0,2.0,0.0,0.0,0.0,6.0,0.7,0.1,0.2,35.0,12.9,452.0,3.0,0.0,
182,Jaylen Warren,PIT,RB,,65,93.3,99.3,79.3,,52,,WarrJa01,114.0,24.0,PIT,RB,16.0,0.0,33.0,28.0,214.0,7.6,0.0,14.0,51.5,26.0,1.8,13.4,84.8,6.5,77.0,379.0,1.0,20.0,53.2,31.0,4.9,23.7,4.8,105.0,5.6,593.0,1.0,1.0,
183,Marquise Goodwin,SEA,WR,,63,90.2,93.2,76.7,,71,,GoodMa00,179.0,32.0,SEA,WR,13.0,2.0,42.0,27.0,387.0,14.3,4.0,18.0,54.8,38.0,2.1,29.8,64.3,9.2,2.0,5.0,0.0,0.0,50.0,7.0,2.5,0.4,0.2,29.0,13.5,392.0,4.0,0.0,
